front_id,back_id,labels
785891,786473,1
80025928,80259165,1
150,93,1
80280117,80280128,1
1198437,1198695,1
50002108,50002640,1
80280001,80028099,0
971995,969127,1
971995,969127,1
88,226,0
80002803,80028002,0
785697,785826,1
60000992,60000991,0
60000992,60000991,0
60000992,60000991,0
80259103,80025979,0
80259001,80025993,0
80280129,80280138,1
80025904,80025987,1
969387,972052,1
552365,552311,0
972170,969088,0
50002062,50002645,1
80025999,80259166,1
20005501,20325068,1
1198323,1197253,1
161,124,0
80259172,80259125,0
27,228,1
60,176,1
99,104,1
50002284,50257284,1
20005447,20005761,0
99,175,0
50002629,50002645,0
716742,716762,1
60003046,60003043,0
60006359,60006351,0
935696,935658,0
935696,935658,0
935696,935658,0
935696,935658,0
935696,935658,0
80259165,80025988,0
20324637,20005763,0
20005531,20325068,1
20324637,20005405,1
80025998,80025987,0
972012,969282,0
80025981,80259125,1
80002803,80028056,1
20005503,20005379,0
785645,786551,1
156,230,0
20005451,20005412,0
80025939,80025957,1
80280135,80028099,0
20005812,20005831,0
99,205,0
531231,548716,1
80259167,80259182,1
20005411,20005405,0
20005411,20005405,0
20005506,20005463,1
935725,935763,1
80028014,80028022,1
60016913,60016938,1
20005518,20005473,1
50002082,50257284,1
80002597,80259186,1
20005536,20005463,1
76,254,1
80028069,80028079,1
20005771,20005417,0
80259126,80259127,1
251,228,1
20005524,20005474,0
80028068,80028046,0
20005762,20005402,1
20005762,20005402,1
935921,935651,1
716784,716774,0
80259103,80259116,1
1341114,1341920,1
20005774,20005412,1
80259115,80259126,1
58,183,1
80280105,80280012,1
1013655,1015858,1
80259133,80259143,1
20005525,20005545,0
24,181,0
80280157,80028003,0
20005774,20005762,1
80280101,80028019,0
1197208,1198780,0
177,255,1
60001692,60016933,1
80259136,80025996,0
1200853,1198263,0
80026036,80026026,0
88,183,1
80259131,80025938,0
596783,596592,0
253,250,1
20005546,20005476,0
80259147,80025915,0
785536,785937,1
785940,786552,1
80259188,80259124,0
80025968,80259158,1
935701,936011,1
935701,936011,1
935701,936011,1
935701,936011,1
935701,936011,1
20005781,20005778,1
80259148,80259117,0
79,255,1
80259102,80025984,0
29,165,0
80280111,80028061,0
80028008,80028095,1
905491,972081,1
24,241,0
80025903,80025979,1
20005490,20005394,0
50002622,50002655,0
50002057,50002673,1
80025998,80259158,1
86,220,0
80280117,80028056,0
60016935,60016910,0
80028095,80028038,0
80028096,80028079,0
20005422,20005444,1
20005422,20005444,1
80028068,80280127,1
50002263,50002482,0
41,27,0
972007,969300,1
86,250,0
20005450,20005417,0
60064215,60006425,0
1198565,1197181,0
80025981,80025996,1
1095399,1095623,1
50002081,50000764,1
20005532,20005558,1
50002034,50002638,1
1341492,1341932,1
80259159,80259132,0
80025999,80259113,1
80026048,80026063,1
215,226,1
27,175,1
80259175,80025978,0
80280101,80280107,1
51,99,0
1095511,1095595,0
80259165,80259127,0
1198704,1198446,0
80259118,80025953,0
970527,1014112,0
20005461,20005402,0
20005763,20005440,1
41,251,0
129,55,0
80028013,80280123,1
80028034,80028056,1
80002807,80280127,1
60016952,60016920,0
1198500,1198242,0
80280149,80028002,0
60005809,60005806,0
1341143,1341207,0
80026069,80025945,0
80280144,80028078,0
80259011,80025945,0
1341052,1246391,0
1341052,1246391,0
1341052,1246391,0
60016942,60016938,0
20005448,20005405,1
20005448,20005405,1
1247078,1341401,0
80028041,80028072,1
101,73,1
73,235,0
20005765,20005430,0
1013677,1014117,1
80025936,80025956,1
1198436,1197211,1
60001693,60001695,1
971934,969282,1
1198602,1198258,0
80280149,80028032,0
50002006,50002013,1
1198567,1198309,0
63,253,0
80025975,80259011,1
129,115,0
1015015,1014574,0
1158712,1158678,0
80028036,80028078,1
20005691,20005698,1
80028071,80028072,1
20005369,20005647,1
969344,972005,1
80028013,80028067,1
80002592,80259139,1
80280104,80280108,1
80259136,80259105,0
80026003,80026023,1
786503,1072788,1
786503,1072788,1
786503,1072788,1
786503,1072788,1
786503,1072788,1
786503,1072788,1
11,54,0
1197274,1198882,0
80028025,80028077,1
60006272,60006271,0
80028093,80028002,0
80026086,80026023,0
20005545,20005472,1
73,33,0
80028018,80028037,1
141,239,0
1014994,1013234,0
20005522,20005488,1
20005522,20005488,1
80280104,80028003,0
50002159,50002204,1
20005433,20005416,1
80259112,80259152,1
785869,785909,1
60016926,60001694,0
197,253,0
20005493,20005476,0
20005494,20005651,0
73,63,0
552823,552401,0
20005552,20005488,1
80026005,80026045,1
80026096,80026065,0
60006104,60006108,1
785478,785879,1
80025968,80259105,1
80028027,80028099,1
785941,785853,0
1198683,1198511,1
20005778,20005427,1
935669,935861,1
1200862,1198272,0
80280104,80028063,0
80026096,80002609,0
596792,596601,0
60000392,60000393,1
80025998,80259105,1
60006175,60006171,0
80259172,80025901,0
969483,972031,0
80028093,80280131,1
786578,785705,0
1198892,1198200,0
80259167,80025977,0
80026005,80002609,1
20005449,20324638,1
80259111,80025993,0
50002076,50000768,1
80280146,80280143,0
20005387,20005539,0
50002621,50002652,0
33,250,0
552372,552156,0
971948,972050,1
50002090,50003268,1
972172,969137,0
20005376,20005650,0
20005376,20005650,0
20005720,20005655,0
80025948,80025905,0
80028065,80280126,1
80259183,80025984,0
50002478,50002626,1
1013502,1013063,0
20005528,20005386,1
117,39,1
904226,969498,1
904226,969498,1
20005453,20005431,0
20005453,20005431,0
20005683,20005674,1
20005724,20005675,1
785532,785845,1
60016950,60016914,0
80028008,80280127,1
20005511,20005527,0
80280142,80028072,0
15,112,1
60006318,60063110,1
80026013,80002604,1
80026015,80026062,1
785794,785636,0
122,27,0
13,224,1
20005398,20005652,0
80025978,80259122,1
60016950,60016944,0
50,200,0
80280157,80280128,0
935700,935816,1
1013912,1015675,1
80002802,80028099,1
20005402,20005408,1
8,230,1
60016956,60016939,0
969372,972200,0
80025909,80259143,1
80026022,80026078,1
20005720,20005690,1
50,230,0
1197179,1197230,1
20005398,20005554,0
117,133,0
1013940,1013061,0
224,235,1
20005532,20005488,0
20005532,20005488,0
60002374,60002377,1
609586,609349,0
80259184,80025987,0
75,112,1
1015275,1013953,0
209,112,1
785850,785680,0
969166,972081,1
20005376,20005476,1
20005376,20005476,1
1198971,1198451,0
80025939,80259143,1
60001693,60016918,1
31,190,1
60016951,60016917,0
15,177,0
117,163,0
20005427,20005414,1
80026069,80259114,0
716771,716781,1
20005532,20005652,0
80025949,80025938,0
10,253,0
20005481,20005650,1
20005830,20005804,1
10,252,1
80025965,80025915,0
80025966,80025956,0
1198509,1198251,0
80028052,80280159,1
80028071,80028038,0
20005538,20005647,0
20005457,20005414,1
936007,935621,0
1197221,1198882,0
80025981,80025922,0
80026033,80026023,0
1198869,1198263,0
1198576,1198318,0
20005697,20005688,0
785477,785625,1
60006214,60006213,0
80028004,80028086,1
740179,740229,1
740179,740229,1
740179,740229,1
165,139,1
88,239,0
20005538,20005549,0
16,150,0
1198759,1198669,1
20005677,20005723,1
150,218,0
129,78,1
552123,552177,0
195,179,0
1198971,1198279,0
20005755,20005764,1
20005755,20005764,1
785484,785641,1
60001696,60016919,1
1014379,1014820,1
80259135,80259132,0
88,141,0
80259104,80025935,0
20005707,20005723,1
80028087,80028097,1
60,99,1
20005667,20005723,0
80026084,80026009,0
20005382,20005374,1
716741,716726,0
196,250,0
60006335,60006338,1
80025914,80259166,1
76,43,1
20005493,20005648,0
50002420,50002434,1
969402,972140,0
80025971,80025977,1
20005757,20005436,1
20005757,20005436,1
80025926,80259176,1
50002654,50000766,0
80259167,80259116,0
80280011,80028056,0
80025903,80259165,1
20005492,20005375,0
20324637,20005416,0
80280125,80028002,0
1198813,1198899,0
1200862,1198444,0
50002239,50002399,1
80026007,80002602,1
935951,936029,1
80026095,80026092,0
1197197,1198418,0
80025978,80025993,1
1014373,1013493,0
50002229,50257284,1
80259167,80259146,0
50002199,50002219,1
20005447,20005444,0
716728,716763,1
20005667,20005655,0
218,124,0
196,94,1
80025998,80025932,0
43,8,0
60016927,60016944,1
80002597,80259109,1
50002269,50002399,1
1198316,1198488,0
1198901,1198209,0
2,228,1
156,175,0
80028029,80280012,1
151,251,0
716758,716763,1
716758,716763,1
55,239,1
80025981,80259182,1
552165,552381,1
20005750,20005431,0
80028008,80002809,1
156,205,0
50002224,50002225,1
1197264,1198515,0
80259121,80025945,0
60016949,60016911,0
80028014,80028079,1
80259013,80025994,0
1074798,1198234,0
80002809,80028038,0
196,228,1
8,177,1
80002592,80025957,1
20005812,20005836,0
20005445,20005402,1
80026022,80026025,1
1197193,1198759,0
1341632,1340246,0
239,115,0
80280125,80280156,1
20005506,20319537,1
80028044,80028079,1
20005530,20005548,0
80026001,80026087,1
80259101,80259127,1
80259178,80259161,0
80259131,80025987,0
20005459,20005762,0
20005459,20005762,0
1245822,1341018,1
76,93,0
935709,935825,1
80025928,80025959,1
121,54,0
80028085,80028039,0
20005761,20005416,0
1198393,1198913,1
80280101,80028098,0
20005536,20319537,1
80002603,80026092,1
20005705,20005694,0
80002601,80026019,1
80026031,80026087,1
33,183,1
1341108,1341381,1
80259108,80259143,1
50002230,50000769,0
80028052,80280106,1
80028093,80280107,1
60002363,60023611,1
1198780,1197265,1
20005536,20325068,0
80025975,80025935,0
20005385,20005485,1
1197223,1198364,1
24,255,1
969473,969269,0
20005531,20005649,0
9,250,0
20319536,20005488,1
785783,785871,1
20005436,20005423,1
50002263,50002659,0
935724,935958,0
935724,935958,0
935724,935958,0
785785,785917,1
20005783,20005418,0
969416,969119,1
60005817,60005812,0
585173,585171,0
50001966,50000764,1
60016920,60016919,0
1198811,1198205,0
86,165,0
1198518,1198260,0
1014809,1015691,1
50002038,50003269,1
80280112,80028077,0
729205,785444,1
1245742,1340984,1
1198576,1198752,0
20005695,20005660,1
20005695,20005660,1
80025972,80025991,1
729205,785794,1
1341424,1341175,0
552836,552405,0
969499,969130,1
935699,935971,1
31,124,0
13,200,1
80026031,80026009,0
729049,785439,1
80026048,80026027,0
80026087,80026099,1
80028047,80028056,1
80259159,80025916,0
552132,552186,0
80025928,80259169,1
80280117,80280132,1
20005440,20005416,0
80002807,80028002,0
51,44,0
11,103,1
50002062,50257283,1
80025997,80259124,1
80028004,80280118,1
80025939,80259119,1
9,215,1
41,196,0
27,232,1
80002808,80028073,0
1014808,1013048,0
99,108,1
60006122,60006126,1
2,175,1
43,176,1
80025975,80025992,1
80259175,80025953,0
740220,740260,1
969457,969388,1
969457,969388,1
1198646,1198822,1
1198453,1200871,1
80259015,80259166,1
60023916,60023911,0
80259134,80025905,0
1198597,1198511,0
20005514,20325068,1
80259155,80259176,1
80025981,80259129,1
80028009,80028056,1
1198351,1198871,0
50002629,50000763,0
20005507,20005379,0
160,230,0
20005508,20005554,0
1198515,1097238,1
73,176,1
80280139,80028099,0
969188,969321,1
80028062,80028067,1
1015437,1015878,1
969163,969090,0
1198957,1198523,0
1198698,1197268,1
716772,716767,0
20005677,20005699,1
86,7,1
20005765,20005405,0
20005765,20005405,0
785796,785483,0
20005501,20005473,1
971966,972068,1
969152,969201,0
80259017,80025915,0
80028069,80028083,1
50002326,50002425,1
80028011,80028078,1
75,6,1
20005531,20005473,1
79,125,1
1095399,1200809,1
20005393,20005539,1
18,169,0
80002603,80026039,1
935669,935784,1
58,187,1
80026056,80026091,1
80025926,80259152,1
740193,740237,1
1013236,1015878,1
1198750,1198316,1
80259146,80025961,0
80026074,80026081,1
740168,740180,1
969428,969292,1
80026051,80026097,1
80025903,80259141,1
695867,740236,1
20005483,20325068,0
80025913,80259105,1
80280151,80028021,0
1198620,1198882,0
20005726,20005725,1
80026086,80026091,1
969254,969112,1
1095595,1095483,0
253,254,1
50002236,50002666,1
80025968,80025937,0
80259151,80025915,0
50002237,50003268,1
29,252,0
20005428,20005764,0
80025914,80025984,1
1198402,1198922,1
905634,972013,1
80259146,80025991,0
80025968,80259162,1
716722,716732,1
50001933,50000763,1
80280134,80280141,1
20005533,20005653,1
60002392,60002395,1
80025968,80025967,0
20005753,20005427,1
80025944,80025984,1
80259167,80025922,0
785417,785818,1
20005494,20005394,0
80025998,80259162,1
80026026,80002604,1
80280121,80028056,0
1012845,1013564,0
32,39,1
728696,785864,1
50002170,50002158,0
152,199,0
969204,969129,1
80025974,80025984,1
1009324,1198723,0
1198527,1198269,0
80259168,80025993,0
118,163,1
178,214,1
80026069,80259163,1
969161,969432,1
80026013,80026097,1
20005518,20005506,1
1198246,1198418,0
1198585,1198761,0
80028034,80280116,1
50002630,50000071,1
50002065,50003268,1
50002156,50002632,1
80028008,80028001,0
1341671,1341521,1
60016935,60016945,1
1197183,1198916,0
214,208,0
1197183,1198654,0
